Rating,Review_title,Product_review
5.0 out of 5 stars,BEST ROB VAC (in this price range), I purchased the Roborock E4 over a month ago.
4.0 out of 5 stars,A True LIFE SAVER!!!!,"I've only noticed a few minor issues with this vacuum. Sometimes it doesn't do the entire area and I have to run it a 2nd time, but it gets it all then. Haven't figured out why it does this yet. I have a area rug and it doesn't even slow it down, my husband thinks it does a better job on the rug than the hardwood floors!! The bin is large enough to hold everything left on the floor from 3 large dogs, 3 adults, 2 kids and multiple people coming and going. As I'm in a wheelchair this thing is a LIFE SAVER for me!!!! I also ordered the ""mop"" setup and will be trying it out soon. I have to admit I caught this on sale for 100 off but this machine is worth the full price to me!!"
5.0 out of 5 stars,Great value robot vac," We have had this little vac for almost two months and I thought it was time for a review. I’ll start off by saying it isn’t a roomba and you can definitely tell that by some of its quirky motions, the biggest being that our carpet is a little longer and causes it to “see” an object and clean around it. I addressed this with customer service and they were prompt with replies and helpful to let me know it was an issue with our carpet length. Overall though even with that issue it still clean our carpet thoroughly every time, just takes a bit longer than expected. It has no issue making nice lines in the carpet and picks up a full bin every time. We have two dogs that shed and three young kids so we run it daily. Overall I’m very happy with this purchase and hopefully it will hold up for quite some time. It does an okay job mapping the house but without Lidar control this was expected. We don’t review many items but I wanted to let anyone on the fence with this unit know it’s worth the purchase! Also I’ll add that it regularly finishes a room then goes to the next doorway to start another and have only had it not make it to the dock a couple times when going to recharge."
5.0 out of 5 stars,My new helper,"First of all, I used to be a person who saw a robot vacuum's being not worth it. There are a couple of reasons for this like price and overall cleaning. That was the case until I found this little bot, for only $250 you get a great bot."
1.0 out of 5 stars,Gets stuck on EVERYTHING. Constant supervision required. Disappointing...," Grabbed this on Cyber Monday and was really excited for the first cleaning session. Got it set up pretty easily in the app and then let it go to work. I walked away and moments later I heard a loud grinding noise, followed by several notification alarms on my phone. The Roborock had gotten stuck on the threshold of my hardwood floor doorway and couldn't figure out how to simply back up or turn around. I manually repositioned him and walked away as he resumed cleaning, but several minutes later I heard an even louder grinding noise followed by another notification on my phone. The Roborock had rolled into my bathroom rug and got stuck. My bathroom rug has rubber anti-slide grips underneath, so I was kind of disappointed that the Roborock couldn't manage to roll into the rug without lifting it off the ground and shoving it across the floor."
5.0 out of 5 stars,Powerful suction and good mapping,"The robot suction power is great, it cleans really well and doesn't scatter debris around. it will also automatically increase suction to high once detect carpet and will clean until the battery reach low level then go back to the dock and recharge to resume cleaning from the same spot it finished. It's accuracy is really good as long as it was not manually interrupted or placed in different spot."
3.0 out of 5 stars,Very impressed how the robot cleans adequately,"I just bought the Roborock E4 3 weeks ago. I was very skeptical at first on how a vacuum robot could clean and vacuum the hard floors and carpets in my home. We have 3 rabbits, so it means a lot of small hay left on the floors and carpets and some dry rabbit poops around the litter. That means I have to vacuum 3-4 times a week the whole house and this is time consuming. I first tested the robot downstairs. I was surprised on how it handled the rabbits fur balls. I was watching it go and it really covered the whole floor where it could go and even the edges. I then brought it back upstairs in the kitchen where there were rabbits fur balls, some toast crumbs (from breakfast) and some sand (coming from shoes when going in and out). It was the best time to test it and see if it vacuumed all the small debris. I started it and went downstairs. After 26 min, it was finished as I got the notification. I went upstairs and at my surprise, everything was gone, cleaned. The last test I performed was to put the robot in the rabbits room where there's a carpet. There were a lot of small hay on the carpet and some rabbit poops. This was the ultimate test. After 20 min, the robot was done with the cleaning so I went to look and there were no more poops and just some hay left on the carpet. That's to say that I've got a Shark Rocket vacuum and I have to pass more than once on the carpet so all the hay is vacuum so I can say that the Roborock E4 does a similar job. Looking at the robot, it goes in a Z shape pattern and knows where it's been and where to go. It's not a random pattern like the cheaper robots. Only one concern. When the robot cleans the edges, the side brush speeds up and sometimes, instead of throwing the debris in front of the robot so it can vacuum those debris, it throws the debris too far towards the center of the room. Since the robot starts with the center of the room and finishes with the edges, some debris that were thrown in the middle are not vacuum and since the robot finishes with the edges, it goes back to the charging station after having done the edges, leaving some debris in the center. That's why I'm giving 4 stars instead of 5. In all, I'm very satisfied with that vacuum robot and at this price, it does a good job with its double gyroscope and OpticEye system."
5.0 out of 5 stars,Move cords out of the way and let it do it’s job!,It picks up so much from my dog that I thought was clean... He shakes causing hair floating in the air and settles on the floors. I wish I had bought one years ago!! Love it! 😊
5.0 out of 5 stars,It is better than we ever  thought it could be.,"We just love this robot. We have a dog and lots of carpet and it works like a dream We vacumned the carpet before we used the Robot. We had to empty the Robot four times, even though it had just been vacumned. We love that it goes under the couch and chairs---no need to move anything, Works great on our hard wood floors too."
5.0 out of 5 stars,FLEXING MUSCLES...My New Cleaning Man Rocks,"After over 20 hours of research and reviews, I could not gave been more pleased going with Roborock E4 as my very first robot vacuum. Paid about $170 out the door after applying $75 reward points, $110 coupon on top of cyber sale price."
